id_subsistema;nom_subsistema;id_estado;nom_estado;nom_modalidadeoperacao;nom_agenteproprietario;nom_agenteoperador;nom_tipousina;nom_usina;ceg;nom_unidadegeradora;cod_equipamento;num_unidadegeradora;nom_combustivel;dat_entradateste;dat_entradaoperacao;dat_desativacao;val_potenciaefetiva
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;AXIA NORDESTE;AXIA NORDESTE;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               4 AL;ALUXG-0UG4          ;4     ;HIDRÁULICA;1995-10-26;1995-10-26;;527.0
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;AXIA NORDESTE;AXIA NORDESTE;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               3 AL;ALUXG-0UG3          ;3     ;HIDRÁULICA;1996-07-31;1996-07-31;;527.0
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;AXIA NORDESTE;AXIA NORDESTE;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               6 AL;ALUXG-0UG6          ;6     ;HIDRÁULICA;1994-04-30;1994-04-30;;527.0
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;AXIA NORDESTE;AXIA NORDESTE;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               5 AL;ALUXG-0UG5          ;5     ;HIDRÁULICA;1995-01-31;1995-01-31;;527.0
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;AXIA NORDESTE;AXIA NORDESTE;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               2 AL;ALUXG-0UG2          ;2     ;HIDRÁULICA;1996-12-20;1996-12-20;;527.0
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;AXIA NORDESTE;AXIA NORDESTE;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               1 AL;ALUXG-0UG1          ;1     ;HIDRÁULICA;1997-08-22;1997-08-22;;527.0
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;GEBRA;GEBRA;TÉRMICA;PÓLO CLOROQUÍMICO GEBRA;UTE.PE.AL.028623-0.01;UG  1P6 MW POLO                      8 AL;ALBGMD0UG8          ;8     ;ÓLEO DIESEL;2002-06-08;2002-06-09;2005-01-01;1.6
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;GEBRA;GEBRA;TÉRMICA;PÓLO CLOROQUÍMICO GEBRA;UTE.PE.AL.028623-0.01;UG  1P6 MW POLO                      7 AL;ALBGMD0UG7          ;7     ;ÓLEO DIESEL;2002-06-08;2002-06-09;2005-01-01;1.6
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;GEBRA;GEBRA;TÉRMICA;PÓLO CLOROQUÍMICO GEBRA;UTE.PE.AL.028623-0.01;UG  1P6 MW POLO                      6 AL;ALBGMD0UG6          ;6     ;ÓLEO DIESEL;2002-06-08;2002-06-09;2005-01-01;1.6
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;GEBRA;GEBRA;TÉRMICA;PÓLO CLOROQUÍMICO GEBRA;UTE.PE.AL.028623-0.01;UG  1P6 MW POLO                      5 AL;ALBGMD0UG5          ;5     ;ÓLEO DIESEL;2002-06-08;2002-06-09;2005-01-01;1.6
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;GEBRA;GEBRA;TÉRMICA;PÓLO CLOROQUÍMICO GEBRA;UTE.PE.AL.028623-0.01;UG  1P6 MW POLO                      4 AL;ALBGMD0UG4          ;4     ;ÓLEO DIESEL;2002-06-08;2002-06-09;2005-01-01;1.6
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;GEBRA;GEBRA;TÉRMICA;PÓLO CLOROQUÍMICO GEBRA;UTE.PE.AL.028623-0.01;UG  1P6 MW POLO                      3 AL;ALBGMD0UG3          ;3     ;ÓLEO DIESEL;2002-06-08;2002-06-09;2005-01-01;1.6
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;GEBRA;GEBRA;TÉRMICA;PÓLO CLOROQUÍMICO GEBRA;UTE.PE.AL.028623-0.01;UG  1P6 MW POLO                      2 AL;ALBGMD0UG2          ;2     ;ÓLEO DIESEL;2002-06-08;2002-06-09;2005-01-01;1.6
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;GEBRA;GEBRA;TÉRMICA;PÓLO CLOROQUÍMICO GEBRA;UTE.PE.AL.028623-0.01;UG  1P6 MW POLO                     10 AL;ALBGMD0UG10         ;10    ;ÓLEO DIESEL;2002-06-08;2002-06-09;2005-01-01;1.6
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;GEBRA;GEBRA;TÉRMICA;PÓLO CLOROQUÍMICO GEBRA;UTE.PE.AL.028623-0.01;UG  1P6 MW POLO                      1 AL;ALBGMD0UG1          ;1     ;ÓLEO DIESEL;2002-06-08;2002-06-09;2005-01-01;1.6
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;GEBRA;GEBRA;TÉRMICA;PÓLO CLOROQUÍMICO GEBRA;UTE.PE.AL.028623-0.01;UG  1P6 MW POLO                      9 AL;ALBGMD0UG9          ;9     ;ÓLEO DIESEL;2002-06-08;2002-06-09;2005-01-01;1.6
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                21 AL;ALBERL0UG21         ;21    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                79 AL;ALBERL0UG79         ;79    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                22 AL;ALBERL0UG22         ;22    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                 8 AL;ALBERL0UG8          ;8     ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                35 AL;ALBERL0UG35         ;35    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                80 AL;ALBERL0UG80         ;80    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                34 AL;ALBERL0UG34         ;34    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                81 AL;ALBERL0UG81         ;81    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                33 AL;ALBERL0UG33         ;33    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                82 AL;ALBERL0UG82         ;82    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                32 AL;ALBERL0UG32         ;32    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                83 AL;ALBERL0UG83         ;83    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                31 AL;ALBERL0UG31         ;31    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                84 AL;ALBERL0UG84         ;84    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                30 AL;ALBERL0UG30         ;30    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                85 AL;ALBERL0UG85         ;85    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                 3 AL;ALBERL0UG3          ;3     ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                86 AL;ALBERL0UG86         ;86    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                29 AL;ALBERL0UG29         ;29    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                87 AL;ALBERL0UG87         ;87    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                28 AL;ALBERL0UG28         ;28    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                88 AL;ALBERL0UG88         ;88    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE       ;AL;ALAGOAS;TIPO I;BRASYMPE;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                27 AL;ALBERL0UG27         ;27    ;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
