id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2026-01-01 00:00:00;7622.605999999999
NE;NORDESTE;2026-01-01 00:00:00;12887.229000000005
S;SUL;2026-01-01 00:00:00;11137.516
SE;SUDESTE/CENTRO-OESTE;2026-01-01 00:00:00;41048.46
N;NORTE;2026-01-01 01:00:00;7707.001000000002
NE;NORDESTE;2026-01-01 01:00:00;13177.871000000005
S;SUL;2026-01-01 01:00:00;11560.689999999997
SE;SUDESTE/CENTRO-OESTE;2026-01-01 01:00:00;41202.382
N;NORTE;2026-01-01 02:00:00;7797.503000000001
NE;NORDESTE;2026-01-01 02:00:00;13388.638000000004
S;SUL;2026-01-01 02:00:00;11327.135000000002
SE;SUDESTE/CENTRO-OESTE;2026-01-01 02:00:00;41135.284
N;NORTE;2026-01-01 03:00:00;7807.821999999999
NE;NORDESTE;2026-01-01 03:00:00;13485.516
S;SUL;2026-01-01 03:00:00;10971.575999999995
SE;SUDESTE/CENTRO-OESTE;2026-01-01 03:00:00;40538.60999999999
N;NORTE;2026-01-01 04:00:00;7781.869000000001
NE;NORDESTE;2026-01-01 04:00:00;13354.581
S;SUL;2026-01-01 04:00:00;10678.113
SE;SUDESTE/CENTRO-OESTE;2026-01-01 04:00:00;39631.48200000001
N;NORTE;2026-01-01 05:00:00;7718.3870000000015
NE;NORDESTE;2026-01-01 05:00:00;12589.669999999998
S;SUL;2026-01-01 05:00:00;10331.748999999996
SE;SUDESTE/CENTRO-OESTE;2026-01-01 05:00:00;38413.197
N;NORTE;2026-01-01 06:00:00;7460.169
NE;NORDESTE;2026-01-01 06:00:00;11637.151999999998
S;SUL;2026-01-01 06:00:00;9789.546
SE;SUDESTE/CENTRO-OESTE;2026-01-01 06:00:00;37417.75600000001
N;NORTE;2026-01-01 07:00:00;7320.744000000001
NE;NORDESTE;2026-01-01 07:00:00;11417.945999999996
S;SUL;2026-01-01 07:00:00;9934.455
SE;SUDESTE/CENTRO-OESTE;2026-01-01 07:00:00;36551.703
N;NORTE;2026-01-01 08:00:00;7167.624
NE;NORDESTE;2026-01-01 08:00:00;11020.927000000003
S;SUL;2026-01-01 08:00:00;9872.981
SE;SUDESTE/CENTRO-OESTE;2026-01-01 08:00:00;36465.21
N;NORTE;2026-01-01 09:00:00;7162.480999999999
NE;NORDESTE;2026-01-01 09:00:00;10767.219
S;SUL;2026-01-01 09:00:00;10079.411
SE;SUDESTE/CENTRO-OESTE;2026-01-01 09:00:00;36461.69899999999
N;NORTE;2026-01-01 10:00:00;7206.955999999999
NE;NORDESTE;2026-01-01 10:00:00;10723.006000000005
S;SUL;2026-01-01 10:00:00;10259.173000000004
SE;SUDESTE/CENTRO-OESTE;2026-01-01 10:00:00;37232.87099999999
N;NORTE;2026-01-01 11:00:00;7371.07
NE;NORDESTE;2026-01-01 11:00:00;10707.422000000002
S;SUL;2026-01-01 11:00:00;10229.204
SE;SUDESTE/CENTRO-OESTE;2026-01-01 11:00:00;38218.763
