dat_iniciosemana;dat_fimsemana;ano_referencia;mes_referencia;num_revisao;nom_semanaoperativa;cod_usinaplanejamento;id_subsistema;nom_subsistema;nom_usina;val_cvu
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;240;N;Norte;BARCARENA;0.0
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;212;N;Norte;MARANHAO3;116.1
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;205;N;Norte;MANAUARA;140.29
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;207;N;Norte;PONTA NEGR;140.29
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;209;N;Norte;TAMBAQUI;140.29
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;140;N;Norte;UTE MAUA 3;140.29
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;201;N;Norte;APARECIDA;140.29
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;203;N;Norte;C. ROCHA;140.29
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;204;N;Norte;JARAQUI;140.29
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;239;N;Norte;PARNAIBA_V;226.46
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;36;N;Norte;MARANHAOIV;273.2
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;21;N;Norte;MARANHAO V;273.2
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;326;N;Norte;JAGUATI II;289.25
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;176;N;Norte;P. ITAQUI;303.4
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;46;N;Norte;N.VENECIA2;308.35
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;329;N;Norte;PAU RAINHA;555.69
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;324;N;Norte;CANTA;555.69
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;330;N;Norte;SANTA LUZ;555.69
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;323;N;Norte;BONFIM;555.69
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;116;N;Norte;PARNAIB_IV;831.9
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;322;N;Norte;BBF BALIZA;876.44
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;70;N;Norte;GERAMAR2;946.07
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;73;N;Norte;GERAMAR1;946.07
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;327;N;Norte;M.C.SUCUBA;1721.1
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;328;N;Norte;PALMAPLAN;1840.09
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;57;NE;Nordeste;MARACANAU;0.0
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;144;NE;Nordeste;PETROLINA;0.0
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;106;NE;Nordeste;ERB CANDEI;118.93
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;147;NE;Nordeste;PROSPERIDA;224.31
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;223;NE;Nordeste;PROSP_III;228.55
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;241;NE;Nordeste;PROSP_II;294.61
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;224;NE;Nordeste;PSERGIPE I;299.0
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;167;NE;Nordeste;P.PECEM1;300.32
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;163;NE;Nordeste;P.PECEM2;311.48
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;83;NE;Nordeste;JS_PEREIRA;450.86
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;98;NE;Nordeste;PERNAMBU_3;782.04
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;96;NE;Nordeste;TERMOPE;858.59
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;170;NE;Nordeste;SUAPE II;924.69
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;43;NE;Nordeste;C.FURTADO;1023.0
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;53;NE;Nordeste;GLOBAL I;1159.43
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;55;NE;Nordeste;GLOBAL II;1159.43
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;152;NE;Nordeste;TERMOCABO;1588.53
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;67;NE;Nordeste;TERMONE;1934.86
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;69;NE;Nordeste;TERMOPB;1934.86
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;161;NE;Nordeste;POTIGUAR_3;2038.91
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;151;NE;Nordeste;POTIGUAR;2038.91
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;52;NE;Nordeste;CAMPINA_GR;2175.93
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;58;NE;Nordeste;TERMOCEARA;2208.22
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;235;NE;Nordeste;C.MURICY 2;2584.06
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;162;NE;Nordeste;PECEM 2;2611.07
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;35;S;Sul;URUGUAIANA;0.0
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;107;S;Sul;PAMPA SUL;105.94
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;149;S;Sul;SAO SEPE;118.84
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;24;S;Sul;J.LACER. C;341.04
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;25;S;Sul;J.LACER. B;397.24
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;27;S;Sul;J.LAC. A2;406.63
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;26;S;Sul;J.LAC. A1;475.13
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;156;S;Sul;CANDIOTA_3;520.2
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;254;S;Sul;B.BONITA I;778.35
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;48;S;Sul;ARAUCARIA;1033.46
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;64;S;Sul;S.TIARAJU;1370.45
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;153;SE;Sudeste/Centro-Oeste;DAIA;0.0
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;194;SE;Sudeste/Centro-Oeste;TNORTE 2;0.0
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;108;SE;Sudeste/Centro-Oeste;XAVANTES;0.0
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;434;SE;Sudeste/Centro-Oeste;W.ARJONA O;0.0
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;65;SE;Sudeste/Centro-Oeste;ATLAN_CSA;0.0
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;583;SE;Sudeste/Centro-Oeste;ATLANTIC_F;0.0
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;415;SE;Sudeste/Centro-Oeste;LORM;0.0
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;651;SE;Sudeste/Centro-Oeste;POVOAC I_F;0.0
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;13;SE;Sudeste/Centro-Oeste;ANGRA 2;20.12
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;1;SE;Sudeste/Centro-Oeste;ANGRA 1;31.17
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;236;SE;Sudeste/Centro-Oeste;M.AZUL;127.48
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;229;SE;Sudeste/Centro-Oeste;O.PINTADA;152.33
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;146;SE;Sudeste/Centro-Oeste;UTE STA VI;164.56
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;183;SE;Sudeste/Centro-Oeste;ATLANTICO;264.1
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;211;SE;Sudeste/Centro-Oeste;BAIXADA FL;292.15
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;86;SE;Sudeste/Centro-Oeste;SANTA CRUZ;296.52
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;4;SE;Sudeste/Centro-Oeste;ST.CRUZ 34;310.41
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;97;SE;Sudeste/Centro-Oeste;CUBATAO;377.51
2025-12-27;2026-01-02;2026;1;0;PMO Janeiro 2026;15;SE;Sudeste/Centro-Oeste;LUIZORMELO;453.09
