id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;id_reservatorio;nom_reservatorio;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutil;val_vazaoafluente;val_vazaodefluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaotransferida;val_vazaovertidanaoturbinavel
N ;Norte;Reservatório com Usina                  ;AMAZONAS       ;AMUHBB;BALBINA             ;277;2026-09-01 01:00:00;50.01;27.43;76.49;220.0;1244.0;1244.0;0.0;;;0.0
N ;Norte;Reservatório com Usina                  ;AMAZONAS       ;AMUHBB;BALBINA             ;277;2026-09-01 02:00:00;50.01;26.85;76.49;231.0;967.0;967.0;0.0;;;0.0
N ;Norte;Reservatório com Usina                  ;AMAZONAS       ;AMUHBB;BALBINA             ;277;2026-09-01 03:00:00;50.01;26.35;76.49;238.0;587.0;587.0;0.0;;;0.0
N ;Norte;Reservatório com Usina                  ;AMAZONAS       ;AMUHBB;BALBINA             ;277;2026-09-01 04:00:00;50.01;25.91;76.49;242.0;295.0;295.0;0.0;;;0.0
N ;Norte;Reservatório com Usina                  ;AMAZONAS       ;AMUHBB;BALBINA             ;277;2026-09-01 05:00:00;50.01;25.52;76.49;241.0;244.0;244.0;0.0;;;0.0
N ;Norte;Reservatório com Usina                  ;AMAZONAS       ;AMUHBB;BALBINA             ;277;2026-09-01 06:00:00;50.01;24.99;76.49;241.0;244.0;244.0;0.0;;;0.0
N ;Norte;Reservatório com Usina                  ;AMAZONAS       ;AMUHBB;BALBINA             ;277;2026-09-01 07:00:00;50.01;24.96;76.49;241.0;240.0;240.0;0.0;;;0.0
N ;Norte;Reservatório com Usina                  ;AMAZONAS       ;AMUHBB;BALBINA             ;277;2026-09-01 08:00:00;50.01;24.91;76.49;241.0;240.0;240.0;0.0;;;0.0
N ;Norte;Reservatório com Usina                  ;AMAZONAS       ;AMUHBB;BALBINA             ;277;2026-09-01 09:00:00;50.01;24.84;76.49;241.0;289.0;289.0;0.0;;;0.0
N ;Norte;Reservatório com Usina                  ;AMAZONAS       ;AMUHBB;BALBINA             ;277;2026-09-01 10:00:00;50.01;25.19;76.49;232.0;461.0;461.0;0.0;;;0.0
N ;Norte;Reservatório com Usina                  ;AMAZONAS       ;AMUHBB;BALBINA             ;277;2026-09-01 11:00:00;50.01;25.19;76.49;226.0;470.0;470.0;0.0;;;0.0
N ;Norte;Reservatório com Usina                  ;AMAZONAS       ;AMUHBB;BALBINA             ;277;2026-09-01 12:00:00;50.01;25.21;76.49;222.0;465.0;465.0;0.0;;;0.0
