id_subsistema;nom_subsistema;id_estado;nom_estado;cod_pontoconexao;nom_pontoconexao;nom_localizacao;val_latitudesecoletora;val_longitudesecoletora;val_latitudepontoconexao;val_longitudepontoconexao;nom_modalidadeoperacao;nom_tipousina;nom_usina_conjunto;id_ons;ceg;din_instante;val_geracaoprogramada;val_geracaoverificada;val_capacidadeinstalada;val_fatorcapacidade
N;Norte;MA;Maranhão;MAMR--500-A;MIRANDA II500kVA;;-2.727222;-42.596389;-3.56757839992388;-44.53541828746215;Conjunto de Usinas;Eólica;Conj. Paulino Neves;CJU_MAPLN;-;2026-09-01 00:00:00;386.500;371.755;426.000;0.872664319248826
NE;Nordeste;BA;Bahia;BAIGD-230-B;IGAPORA II - 230 kV (B);Interior;-14.102794;-42.609369;-14.03041352290708;-42.62452418671275;Conjunto de Usinas;Eólica;Conj. Araçás;CJU_BAARA;-;2026-09-01 00:00:00;88.500;74.344;167.700;0.4433154442456768
NE;Nordeste;BA;Bahia;BAUSB-500;U.SOBRADINHO - 500 kV (A);Interior;-9.751812;-41.006198;-9.43023841;-40.82719916;Conjunto de Usinas;Eólica;Conj. Arizona;CJU_BAARI;-;2026-09-01 00:00:00;160.500;157.528;246.015;0.6403186797552994
NE;Nordeste;BA;Bahia;BAPND-230-A;PINDAI II - 230 kV (A);Interior;-14.348889;-42.608611;-14.41884358854665;-42.61743149472633;Conjunto de Usinas;Eólica;Conj. BW Guirapá I;CJU_BABW1;-;2026-09-01 00:00:00;76.500;81.883;88.800;0.9221058558558556
NE;Nordeste;BA;Bahia;BAPND-230-A;PINDAI II - 230 kV (A);Interior;-14.403056;-42.628333;-14.41884358854665;-42.61743149472633;Conjunto de Usinas;Eólica;Conj. BW Guirapá II;CJU_BABW2;-;2026-09-01 00:00:00;70.500;71.091;81.400;0.8733538083538084
NE;Nordeste;BA;Bahia;BAMPD-230-A;MORRO CHAPEU2 - 230 kV (A);Interior;-10.97;-41.228;-11.71391941565523;-41.39684654723737;Conjunto de Usinas;Eólica;Conj. Babilônia;CJU_BABAB;-;2026-09-01 00:00:00;112.500;82.714;136.500;0.60596336996337
NE;Nordeste;BA;Bahia;BAOUR-500-A;OUROLANDIA II500kVA;Interior;-11.0172;-41.304;-10.87444776563254;-41.3398903922489;Conjunto de Usinas;Eólica;Conj. Babilônia Centro;CJU_BABBC;-;2026-09-01 00:00:00;461.000;408.397;553.500;0.7378446251129178
NE;Nordeste;BA;Bahia;BAOUR-230-A;OUROLANDIA II - 230 kV (A);Interior;-11.119977;-41.290773;-10.87444776563254;-41.3398903922489;Conjunto de Usinas;Eólica;Conj. Babilônia Sul;CJU_BABBS;-;2026-09-01 00:00:00;282.500;271.564;360.000;0.7543444444444445
NE;Nordeste;BA;Bahia;BAPND-230-A;PINDAI II - 230 kV (A);Interior;-14.468988;-42.582935;-14.41884358854665;-42.61743149472633;Conjunto de Usinas;Eólica;Conj. Caetité;CJU_BACTE;-;2026-09-01 00:00:00;50.500;52.088;58.800;0.8858503401360545
NE;Nordeste;BA;Bahia;BAIGD-230-B;IGAPORA II - 230 kV (B);Interior;-14.186292;-42.493356;-14.03041352290708;-42.62452418671275;Conjunto de Usinas;Eólica;Conj. Caetité 123;CJU_BACAE;-;2026-09-01 00:00:00;49.000;26.950;90.000;0.2994444444444444
NE;Nordeste;BA;Bahia;BAIGD-230-B;IGAPORA II - 230 kV (B);Interior;-14.13805;-42.478206;-14.03041352290708;-42.62452418671275;Conjunto de Usinas;Eólica;Conj. Caetité A;CJU_BACTA;-;2026-09-01 00:00:00;33.000;18.944;54.400;0.348235294117647
NE;Nordeste;BA;Bahia;BAIGT-230-A;IGAPORA III - 230 kV (A);Interior;-14.1556;-42.4905;-13.98316719509059;-42.61398369133877;Conjunto de Usinas;Eólica;Conj. Caetité Norte;CJU_BACTN;-;2026-09-01 00:00:00;123.500;139.233;193.200;0.7206677018633542
NE;Nordeste;BA;Bahia;BACFO-230-A;CAMPO FORMOSO - 230 kV (A);Interior;-10.584231;-40.613231;-10.584231;-40.613231;Conjunto de Usinas;Eólica;Conj. Campo Formoso;CJU_BACFO;-;2026-09-01 00:00:00;131.500;132.566;180.000;0.7364777777777778
NE;Nordeste;BA;Bahia;BAOUR-230-A;OUROLANDIA II - 230 kV (A);Interior;-10.4544559;-41.4659757;-10.87444776563254;-41.3398903922489;Conjunto de Usinas;Eólica;Conj. Campo Largo;CJU_BAE4CLA;-;2026-09-01 00:00:00;466.000;501.818;687.900;0.7294926588166882
NE;Nordeste;BA;Bahia;BAJRB-500-A;JEREMOABO500kVA;Interior;-10.130487;-38.751521;-10.16286350259495;-38.29910981174287;Conjunto de Usinas;Eólica;Conj. Canudos I;CJU_BACAN;-;2026-09-01 00:00:00;83.000;93.944;99.400;0.9451106639839034
NE;Nordeste;BA;Bahia;BAUSB-230-A;U.SOBRADINHO - 230 kV (A);Interior;-9.2864;-41.028;-9.43023841;-40.82719916;Conjunto de Usinas;Eólica;Conj. Casa Nova;CJU_BACND;-;2026-09-01 00:00:00;54.000;46.647;88.100;0.529477866061294
NE;Nordeste;BA;Bahia;BAMPD-230-A;MORRO CHAPEU2 - 230 kV (A);Interior;-11.735466;-41.378256;-11.71391941565523;-41.39684654723737;Conjunto de Usinas;Eólica;Conj. Cristal;CJU_BACRI;-;2026-09-01 00:00:00;36.000;69.438;89.700;0.7741137123745818
NE;Nordeste;BA;Bahia;BABDD-230;BRUMADO II - 230 kV (A);Interior;-14.031475;-41.532764;-14.21381429055404;-41.63630514721287;Conjunto de Usinas;Eólica;Conj. Cristalândia;CJU_BACRL;-;2026-09-01 00:00:00;57.500;77.114;90.000;0.8568222222222223
NE;Nordeste;BA;Bahia;BAIGD-230-B;IGAPORA II - 230 kV (B);Interior;-13.916364;-42.616201;-14.03041352290708;-42.62452418671275;Conjunto de Usinas;Eólica;Conj. Curva dos Ventos;CJU_BACVN;-;2026-09-01 00:00:00;27.500;10.057;54.050;0.186068455134135
NE;Nordeste;BA;Bahia;BAJZD-230-A;JUAZEIRO II - 230 kV (A);Interior;-10.007217;-40.9299;-9.480854023530163;-40.47652250701574;Conjunto de Usinas;Eólica;Conj. Delfina;CJU_BADFN;-;2026-09-01 00:00:00;114.000;143.604;209.400;0.6857879656160459
NE;Nordeste;BA;Bahia;BABMC-230-A;BROT.MACAUBAS - 230 kV (A);Interior;-12.30836016673135;-42.34326785848155;-12.30836016673135;-42.34326785848155;Conjunto de Usinas;Eólica;Conj. Eol. Brotas de Macaúbas;CJU_BABMC;-;2026-09-01 00:00:00;146.500;158.922;180.320;0.8813331854480922
NE;Nordeste;BA;Bahia;BAGOR-500-A;GENTIO OURO II500kVA;Interior;-11.4286955;-42.168094;-11.27998091218117;-42.66738361851254;Conjunto de Usinas;Eólica;Conj. Eol. Ventos Santa Eugênia;CJU_BAVSE;-;2026-09-01 00:00:00;323.000;300.702;518.700;0.5797223828802776
NE;Nordeste;BA;Bahia;BASNB-230;SR.BONFIM II - 230 kV (A);Interior;-10.354487;-40.438205;-10.44408772784172;-40.18799610642402;Conjunto de Usinas;Eólica;Conj. Folha Larga;CJU_BAFLA;-;2026-09-01 00:00:00;255.500;287.093;344.400;0.833603368176539
NE;Nordeste;BA;Bahia;BASNB-230;SR.BONFIM II - 230 kV (A);Interior;-10.45815;-40.517163;-10.44408772784172;-40.18799610642402;Conjunto de Usinas;Eólica;Conj. Folha Larga Sul;CJU_BAFLS;-;2026-09-01 00:00:00;115.500;121.702;151.200;0.8049074074074073
NE;Nordeste;BA;Bahia;BAPND-230-A;PINDAI II - 230 kV (A);Interior;-14.395531;-42.631267;-14.41884358854665;-42.61743149472633;Conjunto de Usinas;Eólica;Conj. GPEXPAN;CJU_BAGPX;-;2026-09-01 00:00:00;80.000;86.361;189.900;0.4547709320695103
NE;Nordeste;BA;Bahia;BAIRE-230;IRECE - 230 kV (A);Interior;-11.117353;-42.661544;-11.30863924018409;-41.80786043713334;Conjunto de Usinas;Eólica;Conj. Gentio do Ouro I;CJU_BAGOI;-;2026-09-01 00:00:00;261.500;271.648;303.000;0.8965280528052806
NE;Nordeste;BA;Bahia;BAIGD-69--A;IGAPORA II - 69 kV (A);Interior;-14.03041352290708;-42.62452418671275;-14.03041352290708;-42.62452418671275;Conjunto de Usinas;Eólica;Conj. Igaporã II;CJU_BAIGD;-;2026-09-01 00:00:00;214.500;174.328;294.400;0.5921467391304347
NE;Nordeste;BA;Bahia;BAIGT-500-A;IGAPORA III - 500 kV (A);Interior;-14.009272;-42.67269;-13.98316719509059;-42.61398369133877;Conjunto de Usinas;Eólica;Conj. Igaporã III 500 kV;CJU_BA5EIGT;-;2026-09-01 00:00:00;214.500;31.500;235.800;0.1335877862595419
NE;Nordeste;BA;Bahia;BAGOR-230-A;GENTIO OURO II230kVA;Interior;-11.062154;-42.594935;-11.27998091218117;-42.66738361851254;Conjunto de Usinas;Eólica;Conj. Laranjeiras;CJU_BALRA;-;2026-09-01 00:00:00;389.500;378.131;505.100;0.7486260146505643
NE;Nordeste;BA;Bahia;BAMPD-230-A;MORRO CHAPEU2 - 230 kV (A);Interior;-11.592894;-41.315428;-11.71391941565523;-41.39684654723737;Conjunto de Usinas;Eólica;Conj. Morro do Chapéu Sul;CJU_BAMCS;-;2026-09-01 00:00:00;138.000;150.688;172.000;0.8760930232558138
NE;Nordeste;BA;Bahia;BAMPD-500-A;MORRO CHAPEU II500kVA;Interior;-11.611288;-41.334548;-11.71391941565523;-41.39684654723737;Conjunto de Usinas;Eólica;Conj. Morro do Chapéu Sul II;CJU_BAEMS2;-;2026-09-01 00:00:00;313.500;328.421;352.800;0.9308985260770976
NE;Nordeste;BA;Bahia;BAIGD-230-B;IGAPORA II - 230 kV (B);Interior;-14.128731;-42.681442;-14.03041352290708;-42.62452418671275;Conjunto de Usinas;Eólica;Conj. Morrão;CJU_BAMOR;-;2026-09-01 00:00:00;76.000;50.197;117.600;0.4268452380952381
NE;Nordeste;BA;Bahia;BASDS-500-A;SOL DO SERTÃO500kVA;Interior;-12.66394581791;-42.20400305906;-12.3234662690306;-42.6109331017896;Conjunto de Usinas;Eólica;Conj. Novo Horizonte;CJU_BANHZ;-;2026-09-01 00:00:00;293.000;344.277;423.000;0.8138936170212766
NE;Nordeste;BA;Bahia;BAOUR-500-A;OUROLANDIA II500kVA;Interior;-10.87444776563254;-41.3398903922489;-10.87444776563254;-41.3398903922489;Conjunto de Usinas;Eólica;Conj. Ourolândia II;CJU_BAOUR;-;2026-09-01 00:00:00;435.000;452.683;541.800;0.8355167958656331
NE;Nordeste;BA;Bahia;BAUSB-230-A;U.SOBRADINHO - 230 kV (A);Interior;-9.856667;-41.09;-9.43023841;-40.82719916;Conjunto de Usinas;Eólica;Conj. Pedra Branca;CJU_BAPBR;-;2026-09-01 00:00:00;131.000;137.684;248.915;0.5531366128999858
NE;Nordeste;BA;Bahia;BAPND-230-A;PINDAI II - 230 kV (A);Interior;-14.509293;-42.588387;-14.41884358854665;-42.61743149472633;Conjunto de Usinas;Eólica;Conj. Pelourinho;CJU_BAPEL;-;2026-09-01 00:00:00;35.500;35.546;42.000;0.8463333333333333
NE;Nordeste;BA;Bahia;BAPND-230-A;PINDAI II - 230 kV (A);Interior;-14.542536;-42.561664;-14.41884358854665;-42.61743149472633;Conjunto de Usinas;Eólica;Conj. Pindaí II 230 kV;CJU_BA4EPND;-;2026-09-01 00:00:00;87.500;75.817;132.000;0.5743712121212121
NE;Nordeste;BA;Bahia;BAMPD-230-A;MORRO CHAPEU2 - 230 kV (A);Interior;-11.866389;-41.458394;-11.71391941565523;-41.39684654723737;Conjunto de Usinas;Eólica;Conj. Serra Azul;CJU_BASAZ;-;2026-09-01 00:00:00;62.500;65.268;118.000;0.5531186440677966
NE;Nordeste;BA;Bahia;BAMPD-230-A;MORRO CHAPEU2 - 230 kV (A);Interior;-11.1046611;-41.32873333;-11.71391941565523;-41.39684654723737;Conjunto de Usinas;Eólica;Conj. Serra da Babilônia;CJU_BASDB;-;2026-09-01 00:00:00;293.500;316.090;382.250;0.8269195552648789
NE;Nordeste;BA;Bahia;BAGOR-230-A;GENTIO OURO II230kVA;Interior;-11.48295249719;-42.56977092451;-11.27998091218117;-42.66738361851254;Conjunto de Usinas;Eólica;Conj. Serra do Assuruá;CJU_BASAR;-;2026-09-01 00:00:00;638.000;602.289;846.000;0.7119255319148936
NE;Nordeste;BA;Bahia;BAIGT-230-A;IGAPORA III - 230 kV (A);Interior;-13.888453;-42.693042;-13.98316719509059;-42.61398369133877;Conjunto de Usinas;Eólica;Conj. Tamboril II;CJU_BATBD;-;2026-09-01 00:00:00;27.000;9.550;64.800;0.1473765432098765
NE;Nordeste;BA;Bahia;BAIGT-230-A;IGAPORA III - 230 kV (A);Interior;-13.6895183;-42.5829281;-13.98316719509059;-42.61398369133877;Conjunto de Usinas;Eólica;Conj. Tanque Novo;CJU_BATQN;-;2026-09-01 00:00:00;84.000;14.191;180.000;0.0788388888888888
NE;Nordeste;BA;Bahia;BAOLD-500-A;OLINDINA - 500 kV (A);Interior;-11.2859;-38.7912;-11.31771094049395;-38.38354788103069;Conjunto de Usinas;Eólica;Conj. Tucano;CJU_BATUC;-;2026-09-01 00:00:00;218.500;178.440;322.400;0.5534739454094292
NE;Nordeste;BA;Bahia;BAOUR-230-A;OUROLANDIA II - 230 kV (A);Interior;-10.6708;-41.5686;-10.87444776563254;-41.3398903922489;Conjunto de Usinas;Eólica;Conj. Umburanas;CJU_BAUBN;-;2026-09-01 00:00:00;257.500;279.237;360.000;0.7756583333333334
NE;Nordeste;BA;Bahia;BAMPD-230-A;MORRO CHAPEU2 - 230 kV (A);Interior;-11.9814;-41.4906;-11.71391941565523;-41.39684654723737;Conjunto de Usinas;Eólica;Conj. Ventos da Bahia;CJU_BAVBA;-;2026-09-01 00:00:00;213.500;234.004;298.100;0.7849849043944984
NE;Nordeste;BA;Bahia;BAGOR-230-A;GENTIO OURO II230kVA;Interior;-10.956667;-42.538016;-11.27998091218117;-42.66738361851254;Conjunto de Usinas;Eólica;Conj. Ventos de São Vitor;CJU_BASVT;-;2026-09-01 00:00:00;333.500;333.570;480.000;0.6949375
NE;Nordeste;CE;Ceará;CEAUD-230-A;ACARAU II - 230 kV (A);Litoral;-2.84144239;-40.06614308;-2.927354948554575;-40.11359752175922;Tipo II-B;Eólica;Cataventos do Acaraú I;CEECVA;EOL.CV.CE.033756-0.01;2026-09-01 00:00:00;3.000;0.000;28.000;0.0
NE;Nordeste;CE;Ceará;CEAUD-230-A;ACARAU II - 230 kV (A);Litoral;-2.927354948554575;-40.11359752175922;-2.927354948554575;-40.11359752175922;Conjunto de Usinas;Eólica;Conj. Acaraú II;CJU_CEAUD;-;2026-09-01 00:00:00;37.500;36.002;70.800;0.508501388414157
NE;Nordeste;CE;Ceará;CERSD-230;RUSSAS II - 230 kV (A);Litoral;-4.488019;-37.763092;-4.949243755948938;-37.9953379350293;Conjunto de Usinas;Eólica;Conj. Aracati II;CJU_CEARD;-;2026-09-01 00:00:00;96.000;72.450;136.400;0.531158357771261
NE;Nordeste;CE;Ceará;CEIBD-230-A;IBIAPINA II - 230 kV (A);Interior;-3.906111;-41.042783;-3.89943379150078;-41.18867520535804;Conjunto de Usinas;Eólica;Conj. Cacimbas;CJU_CECBS;-;2026-09-01 00:00:00;77.000;57.040;86.100;0.662485481997677
NE;Nordeste;CE;Ceará;CEPCE-230-A;PECEM II - 230 kV (A);Litoral;-3.341129;-39.260423;-3.595478;-38.876806;Conjunto de Usinas;Eólica;Conj. Faísa;CJU_CEFSA;-;2026-09-01 00:00:00;99.500;79.007;225.800;0.3498981399468557
NE;Nordeste;CE;Ceará;CESBT-230-A;SOBRAL III - 230 kV (A);Litoral;-3.095274840556718;-39.6016302343893;-3.691407099796108;-40.29845789253651;Conjunto de Usinas;Eólica;Conj. Icaraí;CJU_CEICR;-;2026-09-01 00:00:00;75.000;29.445;140.700;0.209275053304904
NE;Nordeste;CE;Ceará;CEAUD-230-A;ACARAU II - 230 kV (A);Litoral;-2.965278;-39.889444;-2.927354948554575;-40.11359752175922;Conjunto de Usinas;Eólica;Conj. Itarema V;CJU_CEITC;-;2026-09-01 00:00:00;134.000;110.609;207.000;0.5343429951690821
NE;Nordeste;CE;Ceará;CERSD-230;RUSSAS II - 230 kV (A);Litoral;-4.4088;-37.8442;-4.949243755948938;-37.9953379350293;Conjunto de Usinas;Eólica;Conj. Jandaia;CJU_CEJAN;-;2026-09-01 00:00:00;87.500;66.203;123.000;0.5382357723577236
NE;Nordeste;CE;Ceará;RNMSQ-230-A;MOSSORO IV - 230 kV (A);Litoral;-4.725801;-37.405379;-4.854034365666028;-37.29093597707783;Conjunto de Usinas;Eólica;Conj. Kairos;CJU_CEKW2W;-;2026-09-01 00:00:00;;75.461;112.500;0.6707644444444444
NE;Nordeste;CE;Ceará;CEAUD-230-A;ACARAU II - 230 kV (A);Litoral;-2.884306;-39.994861;-2.927354948554575;-40.11359752175922;Conjunto de Usinas;Eólica;Conj. Papagaios;CJU_CEPPG;-;2026-09-01 00:00:00;26.000;25.763;87.000;0.2961264367816092
NE;Nordeste;CE;Ceará;CESBT-230-A;SOBRAL III - 230 kV (A);Litoral;-3.005833;-39.7375;-3.691407099796108;-40.29845789253651;Conjunto de Usinas;Eólica;Conj. Pedra Cheirosa;CJU_CECHE;-;2026-09-01 00:00:00;27.000;19.014;48.300;0.3936645962732919
NE;Nordeste;CE;Ceará;CERSD-230;RUSSAS II - 230 kV (A);Litoral;-4.605374;-37.647351;-4.949243755948938;-37.9953379350293;Conjunto de Usinas;Eólica;Conj. Pitombeira;CJU_CEPTM;-;2026-09-01 00:00:00;67.000;54.929;98.700;0.5565248226950354
NE;Nordeste;CE;Ceará;CEIBD-230-A;IBIAPINA II - 230 kV (A);Interior;-3.86925;-41.18235;-3.89943379150078;-41.18867520535804;Conjunto de Usinas;Eólica;Conj. Santa Rosália;CJU_CESRO;-;2026-09-01 00:00:00;113.500;129.544;141.010;0.9186866179703568
NE;Nordeste;CE;Ceará;RNMSQ-230-A;MOSSORO IV - 230 kV (A);Litoral;-4.786933;-37.305958;-4.854034365666028;-37.29093597707783;Conjunto de Usinas;Eólica;Conj. Santo Inácio;CJU_CEESTI;-;2026-09-01 00:00:00;127.500;117.827;170.100;0.6926925338036449
NE;Nordeste;CE;Ceará;CEPCE-230-A;PECEM II - 230 kV (A);Litoral;-3.302;-39.349;-3.595478;-38.876806;Conjunto de Usinas;Eólica;Conj. Serra do Mato;CJU_CESEM;-;2026-09-01 00:00:00;52.000;33.649;121.800;0.2762643678160919
NE;Nordeste;CE;Ceará;CEPCE-230-A;PECEM II - 230 kV (A);Litoral;-3.302;-39.349;-3.595478;-38.876806;Conjunto de Usinas;Eólica;Conj. Serrote A;CJU_CESERA;-;2026-09-01 00:00:00;80.500;58.500;205.800;0.2842565597667638
NE;Nordeste;CE;Ceará;CEPCE-230-A;PECEM II - 230 kV (A);Litoral;-3.54626;-38.888802;-3.595478;-38.876806;Conjunto de Usinas;Eólica;Conj. Taíba;CJU_CETBA;-;2026-09-01 00:00:00;43.500;37.515;56.700;0.6616402116402116
NE;Nordeste;CE;Ceará;CEPCE-230-A;PECEM II - 230 kV (A);Litoral;-3.24256;-39.296244;-3.595478;-38.876806;Conjunto de Usinas;Eólica;Conj. Trairí;CJU_CETRA;-;2026-09-01 00:00:00;127.500;111.504;212.600;0.52447789275635
NE;Nordeste;CE;Ceará;CESBT-230-A;SOBRAL III - 230 kV (A);Litoral;-3.01786514;-39.67407146;-3.691407099796108;-40.29845789253651;Tipo I;Eólica;Eol Icaraizinho;CEUCZ;EOL.CV.CE.028699-0.01;2026-09-01 00:00:00;33.000;26.933;54.600;0.4932783882783883
